id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
3459,"Cancelling my service should not be this difficult. I’ve called three times since the 10th of October and have only been met with more obstacles. Your representatives seem oblivious to the urgency of my request. This is draining, especially with my business relying on timely communication. I need to either move forward with my cancellation or receive exceptional service to keep me from leaving. Make this right, or I will escalate to higher authorities.",Medium,High,Difficulty Cancelling Service,Legalistic / rights-aware,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3460,"I switched to your service about a month ago, and honestly, I'm regretting it. My broadband speeds are so slow that I can't even stream a video without buffering. I've spoken to Chris from customer support twice now, and he just keeps saying they'll look into it. This isn't acceptable. I've had enough. I need a manager to address this immediately or I'll have to take my complaint elsewhere. You have a week to get this fixed.",Medium,High,Slow Broadband Speeds,Casual conversational,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3461,"Let me paint a picture for you. As a small business owner, I depend heavily on my mobile connection for everything. The coverage here is completely unreliable. I first reached out about this weeks ago, spoke to Jamie who promised to escalate my case. But nothing has changed. I can't afford to lose customers because your network drops consistently. This is beyond frustrating. I won't keep accepting excuses; it's time for you to provide a solution.",Medium,High,Poor Network Coverage,Narrative / storytelling,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
3462,"I’m a student trying to manage my finances carefully, yet I'm being charged for calls that I didn’t make. After countless conversations over the last month with your support team, I’m feeling really overwhelmed and helpless. I spoke to Lucy yesterday who assured me they would sort it out, but so far, no change. It’s hard to explain to my mates why I can't afford lunch when I’m being charged for someone else's error.",Medium,High,Fraud & Scams,Formal professional,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3463,"I just switched over from my last provider, and the silence from your end has been deafening. It’s been nearly two weeks since I first activated my plan, and I've received no updates about my service activation. I've called your support multiple times, and each time, I’m assured that it’s being looked at. How is this normal? I need some communication - is that too much to ask? I expect a response soon.",Medium,High,Lack of Progress Updates,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
3464,"I thought I had this resolved last week when I spoke to someone about my ongoing connectivity issues. I was assured that a technician would fix my problems, but here we are, and I’m still without proper service. I’m in a difficult position, relying on my internet for everything from shopping to banking. If you can't fix this soon, I’ll have to escalate because this is no way to treat your customers.",Medium,High,Unfulfilled Fix Promises,Polite but firm,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
3465,"I can’t deal with the dropped calls anymore. My partner and I both rely on our phones, and I've called your team at least four times in the last couple of weeks. Your assistant Alex keeps telling me the same thing: ‘We’re working on it.’ What does that even mean? This is affecting our daily life. I never thought switching would lead to so many problems. I expect some real progress or I’ll have to consider my options.",Medium,High,Poor Network Coverage,Casual conversational,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3466,"I don’t appreciate being left on hold for over twenty minutes just to ask a simple question about my recent bill. Aisha from your support team assured me last week that you'd fix my previous issues, but the only thing I gain is more frustration. Why is it so hard to get through to someone who knows what’s going on? If I’m charged again for a service that wasn’t provided, I’ll escalate this matter. I cannot stress this enough.",Medium,High,Long Call-Waiting Times,Narrative / storytelling,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3467,"After cancelling my business plan and confirming that I wouldn’t receive any further bills, I’ve now been charged for another month. I reached out to your support, spoke to Tom who also confirmed the cancellation, yet here we are. This miscommunication is costing me and I can’t just overlook it. I need to see this corrected promptly. I expect a full refund and an explanation by the end of the week.",Medium,High,Billing After Cancellation,Narrative / storytelling,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
3468,"I am speechless. Your auto-renewal process happened without my permission, and now I’m stuck with a charge I didn’t authorise. I’ve reached out previously and went through the motions of resolving it, only to be ignored. This cannot be how your company operates. I demand this charge is removed immediately, or I will escalate this directly to the regulator. Your customer service so far has shown a clear lack of respect.",Medium,High,3G Shutdown Impact,Passive-aggressive / sarcastic,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
3469,"The sudden price increase in my contract is baffling. As someone who relies on my service for work, an unexpected hike of this nature is unacceptable. I’ve been loyal to your company for years. I approached your team about this and was told nothing can be done. I will not accept that, and if this isn't rectified soon, I will have to publicly voice my dissatisfaction.",Medium,High,Mid-Contract Price Increase,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
3470,"For weeks now, I've been dealing with unsolicited scam emails linked to my account that I feel should have been secured on your end. I've spoken to the support team half a dozen times, and I’m still waiting for a confirmation that the issue is being fixed. Yesterday, Liam assured me that he’d escalate it, but the lack of action is distressing. I need to see some accountability. If not handled, I will consider pursuing legal action.",Medium,High,Unfulfilled Fix Promises,Legalistic / rights-aware,Parent managing a family plan,Second attempt — raised once before with no resolution
3471,"First, your network was spotty at best, and now it's almost unresponsive in my area. I’m getting nowhere after all these calls – it's incredibly disheartening. Your representative told me they’d have the issue resolved eventually, but what does that even mean? I’m waiting indefinitely and this is becoming intolerable. I will escalate my concerns if I don’t see some real results soon.",Medium,High,Auto-Renewal Without Consent,Terse and minimal,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3472,"It’s disappointing to see a company I’m paying for not fulfilling basic promises about my service. I arranged for a technician to visit but was left waiting on the day with no one showing up. When I reached out, David promised the issue would be resolved quickly, yet here I am still struggling with no internet. If I don’t hear from you with a fixed date soon, I’ll pursue other avenues for reimbursement.",Medium,High,Loyalty Penalty,Formal professional,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3473,"I can’t believe it’s been nearly a month without proper access to the services I’m paying for. I’ve contacted support numerous times and escalated my concerns, yet my service remains just as inadequate. Liam from your team said a technician would sort it within days – that was weeks ago. It feels like my complaints just keep getting lost. This cannot continue without resolution.",Medium,High,Fraud & Scams,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3474,"Here’s the issue: I’ve been charged for services I explicitly requested to cancel a week before my billing date. I spoke with Sarah who confirmed it was all sorted, but lo and behold, another charge shows up. How can this be right? I’m on a budget, living as a student, and I don't have the luxury of unnecessary expenses. Please resolve this within the next few days, or I will escalate.",Medium,High,Poor Network Coverage,Casual conversational,Parent managing a family plan,Second attempt — raised once before with no resolution
3475,"I received a notice about a price increase effective next month. I’m sure you realise this is quite difficult for someone my age on a fixed income. I’ve been a loyal customer for years, but I’m unsure how I can afford this new amount. Please, someone get back to me as soon as possible. This is my first time reaching out about it, and I feel rather lost navigating this whole situation.",Medium,High,Mid-Contract Price Increase,Casual conversational,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
3476,"I’ve contacted your customer service team about my issue for the third time now, and each time, I receive a vague response that doesn’t address my concerns at all. I’ve been a loyal customer for over a decade, and I expect better handling of my complaint. Can someone please take this seriously and provide a clear path to resolution? I don’t appreciate having to repeat myself.",Medium,High,Poor Complaint Handling,Polite but firm,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
3477,"My phone is still malfunctioning despite multiple attempts to report it. The last two representatives assured me the warranty would cover the repairs, but I've yet to see any action. As a student on a tight budget, I cannot afford these issues. This is getting ridiculous, and I need someone to escalate this to a higher authority. I can't go on wasting time when I have important studies to focus on.",Medium,High,Faulty Hardware / Handset Issues,Formal professional,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3478,"I’m reaching out again regarding my handset troubles. I initially reported the issues over a month ago and was promised assistance that has not materialised. I have a disability and rely heavily on my phone for communication. It's more than frustrating at this point; it affects my daily routines, and I feel unheard. Please, I implore you to expedite my case this time and provide me with timely updates so I know where I stand.",Medium,High,Faulty Hardware / Handset Issues,Verbose and detailed,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
3479,I’ve just seen my latest bill and it really rubs me the wrong way. I didn’t expect to be penalised so heavily as a long-term customer just because I’m struggling. I feel utterly baffled how your system rewards loyalty with penalties instead of benefits. I would appreciate some clarity and assistance to see if there’s any way to address this discrepancy.,Medium,High,Loyalty Penalty,Verbose and detailed,Student on a tight budget,First contact — raising the issue for the first time
3480,"Another price increase notification. That’s just fantastic, isn’t it? It’s becoming a trend to not even try to hold onto long-term customers. I’ve always paid punctually before, and this feels like a slap in the face. I’ll consider other options if I don’t hear back with a reasonable explanation soon. It’s starting to feel like you don’t value me as a customer at all.",Medium,High,Mid-Contract Price Increase,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3481,"I had another charge applied without my consent because of an auto-renewal. This will not stand. I’ve already pointed this out three times, and yet I find myself stuck in the same situation. I’ve been a committed customer for years, yet it feels like you’ve forgotten about your loyal patrons. I need someone to listen and sort this mess out immediately.",Medium,High,Auto-Renewal Without Consent,Casual conversational,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
3482,"I’ve been waiting for updates regarding my issue with the family plan for weeks, and still, nothing appears to be moving forward. I find it astonishing how little communication I’ve received from your team. We’re dealing with multiple devices and needs, and the lack of information is making this whole process incredibly frustrating. Can you at least tell me what’s happening? I deserve to be kept in the loop.",Medium,High,Lack of Progress Updates,Narrative / storytelling,Parent managing a family plan,Second attempt — raised once before with no resolution
3483,"The AI support was supposed to make things easier for customers, yet it’s done nothing but escalate my confusion. I’ve tried using the chat service multiple times but it fails to grasp my simple requests. I'm left having to navigate through inadequate options instead of getting proper assistance. Please connect me to a supervisor. This isn’t working, and I can’t waste more time.",Medium,High,Ineffective AI / Chatbot Support,Polite but firm,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3484,"The transition after the 3G shutdown left me with no connectivity while I’m on a limited budget, and I can no longer afford a sudden upgrade. I’ve contacted your support several times only to receive empty promises. It’s clear my concerns aren’t taken seriously. I rely on my phone for essential communication and expect you to honour your commitments to all customers.",Medium,High,3G Shutdown Impact,Passive-aggressive / sarcastic,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3485,"I’ve been attempting to cancel my service, yet it feels impossible. I was assured that the process would be straightforward, yet here I am, facing roadblocks again. This is my second attempt, and I won’t accept being brushed aside. I deserve a resolution. If this continues, I’m left with no choice but to escalate this.",Medium,High,Difficulty Cancelling Service,Terse and minimal,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
3486,"I believe I was sold the wrong plan because of an agent’s mistake, and now, I'm stuck paying for something that doesn’t suit my needs at all. I’ve read through your policies, and I know I'm entitled to a resolution. This is my first time reaching out, and I expect someone to acknowledge this error and rectify it efficiently.",Medium,High,Wrong Sale Due to Agent Mistake,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
3487,"The network coverage in my area has been disappointing, and this has turned into a serious problem for me as a student. I’ve brought this up before, yet I seem to be met with the same excuses and no actual progress. I’m out of patience. I require an escalation, as my studies depend on reliable connections and your current service is falling significantly short.",Medium,High,Poor Network Coverage,Formal professional,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3488,"I’ve tried to resolve my complaint multiple times, yet I’m still facing issues with your handling of my situation. It’s unacceptable, especially as I rely on my service daily for my business. I need this addressed immediately, or else I will be forced to escalate my concerns further. This ongoing lack of resolution is interference with my livelihood, and it must be fixed at once.",Medium,High,Poor Complaint Handling,Formal professional,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3489,"I switched to your service recently and hoped for a better experience, but my broadband speeds are not close to what I was promised. I've reached out before, yet nothing has improved, and the delays cause real problems for my work from home. I expect this to be resolved without further delay. I’ll be forced to reconsider my options if I don’t see a change soon.",Medium,High,Slow Broadband Speeds,Polite but firm,Recently switched from another provider,Second attempt — raised once before with no resolution
3490,"I've reached out multiple times over the past few weeks regarding the dreadful complaint handling I've experienced. I feel completely ignored. Last week, I spoke with Henry, who assured me someone would call me back. Nothing. I'm at my wit's end; this is not how customers should be treated. I need this escalated to a manager or I will have to involve the ombudsman. You’ve lost a loyal customer with the way this has been handled.",Medium,High,Poor Complaint Handling,Casual conversational,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3491,"I recently attempted to cancel my service, but here I am again, trying for the second time. My previous request was brushed aside with vague promises. I switched to your company hoping for a seamless experience, yet I’m stuck explaining the same issue over and over. Please ensure my cancellation request is processed immediately without further delay. I cannot afford to keep paying for a service I don’t want or need.",Medium,High,Difficulty Cancelling Service,Formal professional,Recently switched from another provider,Second attempt — raised once before with no resolution
3492,"I am absolutely devastated by how my account has been managed. I did not consent to an auto-renewal and now I’m facing unexpected charges. I've tried to explain my situation several times, and each time I’m met with indifference. My health condition makes it difficult to handle this. I need this matter escalated to a manager or an ombudsman immediately. This is unacceptable and I deserve resolution now.",Medium,High,Auto-Renewal Without Consent,Verbose and detailed,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3493,"I'm writing again about the network coverage issues. I have raised this before with no action taken. It feels hopeless trying to get a signal, especially considering my age and lack of confidence with technology. I need reliable service, not this ongoing struggle. I expect a prompt response about what you will do to improve coverage in my area, otherwise I’ll have to consider my options.",Medium,High,Poor Network Coverage,Legalistic / rights-aware,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
3494,"Oh, fantastic, another auto-renewal without my consent. After being a loyal customer for over ten years, I didn’t expect this level of incompetence. How hard can it be to actually listen to your customers? I’m just trying to keep my budget in check and it feels like I'm fighting an uphill battle. Please resolve this issue before I take my business elsewhere.",Medium,High,Auto-Renewal Without Consent,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3495,"The early termination fees you've levied against my business are outrageous. I have contacted you several times about this and always leave feeling that my concerns are trivial to you. My business relies on prompt communication, and these fees are a financial burden that I cannot absorb. I expect a resolution immediately; I’ve invested too much time already.",Medium,High,High Early Termination Fees,Polite but firm,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
3496,"I feel incredibly frustrated. Promises made regarding fixing my service have not been followed through. After speaking to Karen last month, I was assured that the issue would be resolved. It clearly is not, as I still experience continual outages. This is not acceptable for a long-term customer like me. I require concrete answers and action, or I’ll have to escalate further.",Medium,High,Unfulfilled Fix Promises,Verbose and detailed,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3497,"I’m tired of dealing with this awful chatbot. It does nothing to address my actual concerns. I’ve spoken to Patricia more than once, and even she can’t seem to grasp what’s gone wrong. For someone who struggles with technology, this has been an ordeal and I won’t stand for it any longer. I need a manager to take my call and fix these problems now.",Medium,High,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3498,"I’m here once more addressing the unresolved fraud issue impacting my business. Despite pressing this before, your response has been little more than a generic acknowledgment. This is my livelihood at stake, and the lack of urgency surrounding this matter is unacceptable. If I don’t get a solid update soon, I’ll be forced to escalate this beyond your company.",Medium,High,Fraud & Scams,Casual conversational,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
3499,"I cannot believe the speeds I have been experiencing with my broadband. This has been a recurring issue over the past few months and you have done nothing to resolve it. I’ve reached out multiple times now and it feels like I’m speaking to a wall. As a student on a budget, I cannot afford to keep paying for such a subpar service. Please address this, I want it resolved within days.",Medium,High,Slow Broadband Speeds,Polite but firm,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3500,"Waiting on hold for seemingly endless periods has become my new reality thanks to your customer service. My previous calls have gone nowhere, each leaving me more frustrated than the last. As a student, my budget is tight, but it’s even tighter with all this wasted time and money. I deserve prompt service and answers, and there’s no excuse for these long wait times. I expect improvement immediately.",Medium,High,Long Call-Waiting Times,Polite but firm,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3501,"I’m appalled by the incorrect billing on my account. After being a loyal customer for over a decade, I would expect better treatment. This isn’t just a small mistake; it’s become a recurring issue. I raised this before and was told it would be rectified, yet nothing has changed. If I don’t see resolution soon, I will escalate this. I’ve had enough.",Medium,High,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3502,"The handset I received is fundamentally faulty. I switched providers hoping for a better experience, yet here I am, frustrated. I’ve raised this matter several times now, each time feeling more disregarded. I got vague instructions, and they simply didn’t help. I expect a proper response, a replacement, and a resolution to this ongoing inconvenience.",Medium,High,Faulty Hardware / Handset Issues,Legalistic / rights-aware,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3503,I’m reaching out as a long-time customer regarding a fault with my device. Sending multiple complaints without resolution is disheartening. I initially called to report this last month but was given no solution. This isn’t just annoying; it’s unacceptable. I need a technician to evaluate my handset and rectify this immediately.,Medium,High,Faulty Hardware / Handset Issues,Polite but firm,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3504,"Despite repeated efforts to communicate, I continue to receive bills for a service I cancelled weeks ago. Each month I spend time navigating your system to find clarity, only to be met with a disheartening lack of progress. This ongoing billing issue has caused me significant distress. I am classified as a vulnerable customer, and the neglect towards my situation must cease. I require immediate action to stop this billing and confirmation of cancellation.",Medium,High,Billing After Cancellation,Narrative / storytelling,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
3505,"I've been with your company for over a decade and I never thought I’d come to this. I've requested updates on my service issue since January 10th, and all I've received is silence. It’s astounding to see how a long-time loyal customer can be left in the dark while I wait for someone to acknowledge my concerns. Is this the way you treat those who have stood by you for years?",Medium,High,Lack of Progress Updates,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3506,"I’ve reached out about the poor network coverage multiple times over the last month. I can’t stress enough how crucial a reliable connection is for my health. Each time I call, I’m met with empty reassurances. It's exhausting, and I don’t feel like my situation is taken seriously. I need a resolution, not more excuses.",Medium,High,Poor Network Coverage,Polite but firm,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
3507,"As a customer of over ten years, I find the current network outages unacceptable. It’s troubling that I must express my rights just to get a responsive service. I’ve read through my contract, and it clearly states that I’m entitled to a reliable network. Please treat this matter with urgency before I take necessary actions.",Medium,High,Poor Network Coverage,Legalistic / rights-aware,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3508,"Despite my previous attempts to resolve the issues with my handset, nothing has changed. I escalated the matter two weeks ago during my call, and was told a manager would reach out, yet I’m still waiting. I need action, not lip service. I am formally requesting to speak with a manager directly regarding this issue.",Medium,High,Faulty Hardware / Handset Issues,Formal professional,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3509,"I’ve just found out about an auto-renewal on my plan that I did not agree to. When I called last week, I was told it would be resolved, but nothing has happened since. This lack of communication is unacceptable. I really depend on clear and equitable service, especially as a vulnerable individual. I expect a prompt resolution.",Medium,High,Auto-Renewal Without Consent,Formal professional,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
3510,"I checked my bill for this month and noticed a charge that I didn’t authorise. This is the first time I’m contacting you about this, but it has really left me puzzled. I’m not very tech-savvy, and now I’m worried about how to handle further charges. I expect a full explanation and reversal of this charge immediately.",Medium,High,Overcharging & Incorrect Billing,Casual conversational,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
3511,"I recently switched providers hoping for improved service, but I’ve been left on hold for far too long when trying to reach your support team for assistance. Waiting over thirty minutes just to speak about my account is unacceptable. That time could be spent better elsewhere, and I require immediate attention to my service request.",Medium,High,Long Call-Waiting Times,Formal professional,Recently switched from another provider,First contact — raising the issue for the first time
3512,"I submitted a ticket regarding my ongoing service issue three weeks ago, each time being reassured that it was being escalated. Now, I’m forced to ask—where’s the follow-up? I genuinely depend on this service for my business, and your lack of updates has become distressingly problematic. If I don’t hear back promptly, I will need to consider further action.",Medium,High,Lack of Progress Updates,Verbose and detailed,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
3513,"Last month, I was notified of the 3G shutdown, which I initially thought wouldn’t impact me. However, my signal has dropped significantly. I spent hours trying to resolve this, only to be passed along from one agent to another. I feel I’ve shared my story enough. I just need the service I’ve signed up for, without this disruption.",Medium,High,3G Shutdown Impact,Narrative / storytelling,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3514,"I just received a notice about a price increase mid-contract, which I find absolutely surprising. I’ve already contacted your team multiple times over the last few weeks, and every call is met with confusion. I expect a solid, clear explanation backed by a detailed outline of why you feel this is acceptable. My loyalty deserves consideration.",Medium,High,Mid-Contract Price Increase,Verbose and detailed,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3515,I believe I’ve been overcharged on my most recent bill. I’ve reached out for clarification several times now but have been met with only confusion. My previous efforts to discuss this went nowhere. I simply cannot allow this issue to continue unchecked. Please provide me with a clear breakdown of the recent charges or I will escalate.,Medium,High,Overcharging & Incorrect Billing,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3516,"After multiple attempts to raise my concerns about billing errors, I was told someone would investigate. Days later, I still have yet to see any results. I am a long-standing customer, and this is incredibly disheartening. I’m simply asking for a resolution—this ongoing issue cannot be brushed aside any longer.",Medium,High,Overcharging & Incorrect Billing,Narrative / storytelling,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3517,"I’ve found your chatbot support utterly unhelpful during this past month. Each time I try to get assistance, it misinterprets my questions and leaves me more frustrated. I need a genuine human connection to discuss these issues—not AI that has clearly been designed without user-friendly consideration. If this isn’t addressed soon, I’ll escalate my concerns.",Medium,High,Ineffective AI / Chatbot Support,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
3518,"I tried cancelling my service a week ago and I was met with so many obstacles that it felt like it would never end. Nobody seems to want to assist me, and every representative I speak to seems to have a different story. All I want is a straightforward cancellation. You owe me clarity and respect in this matter.",Medium,High,Difficulty Cancelling Service,Polite but firm,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3519,"Yet again, I find myself needing to contact your support team regarding potential fraud on my account after being assured previously it was resolved. I am tired of repeating myself, and I truly need someone to take possession of this issue for real. This threatens my financial well-being. I require immediate action and feedback.",Medium,High,Fraud & Scams,Formal professional,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
3520,"I've been a loyal customer for three years. I just noticed an unexpected £10 charge on my last bill, dated September 15. When I called, it took nearly an hour to speak to someone who didn't even know what the charge was for. This isn't acceptable service.",Medium,High,Loyalty Penalty,Terse and minimal,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
3521,"I must say, the broadband speeds I’m getting are truly impressive. I’ve been stuck at 5mbps for over a week now, which I’m sure is just thrilling for your team to watch me struggle. After all, who doesn’t want a bit of excitement waiting three times for the same problem? I raised this last week, and still nothing.",Medium,High,Slow Broadband Speeds,Passive-aggressive / sarcastic,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
3522,"On August 30, I was misled by one of your agents about a mobile plan. I clearly asked for unlimited data due to my health issues, and they sold me a plan that doesn't even come close. I reached out last week and was promised a follow-up - nothing has happened. This is impacting my day-to-day life, and I deserve better.",Medium,High,Wrong Sale Due to Agent Mistake,Verbose and detailed,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
3523,"I waited 40 minutes on hold today just to address the consistent long wait times I've already raised in previous calls. I spoke with John, but the issue remains unsolved. My patience is wearing thin, and I’m finding it quite exhausting to keep repeating myself when clearly, nobody is paying attention.",Medium,High,Long Call-Waiting Times,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3524,"As a customer of over ten years, I'm shocked at how you’ve handled my account. I have repeatedly tried to rectify the billing confusion created by your agent, but all I've received are vague assurances. I'm aware of my consumer rights, and escalation of this matter is necessary if I receive no resolution this time.",Medium,High,Wrong Sale Due to Agent Mistake,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3525,"I called on September 14 about the much too high early termination fee imposed on my account. I was assured it would be reviewed. Yet here we are a week later, and it’s still on my statement. This feels like neglect at this point. I simply want clarity, as this situation is wholly unacceptable.",Medium,High,High Early Termination Fees,Formal professional,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
3526,"It’s been weeks and I still haven’t gotten an explanation for the extra £25 on my last bill. I just want to know who decided that would be a good idea. I switched from another provider expecting better service, but it looks like I was mistaken. I’ve already contacted support multiple times.",Medium,High,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
3527,"Despite having reached out several times, the overcharges keep appearing on my account. I called about this more than once without resolution. It's incredibly frustrating to deal with the same issue repeatedly. I really do not have the luxury of time to waste on each call.",Medium,High,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
3528,I’m finding it very disappointing that your service doesn’t cover my area properly. I’ve moved recently and thought you’d rectify it since I’ve switched to you just last month. This is my first complaint too. I expect a valid solution regarding the network issues I’ve been facing.,Medium,High,Poor Network Coverage,Legalistic / rights-aware,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
3529,"I cannot believe that the 3G service is being shut down and your company is not addressing how it affects me. I rely on this for work and the notice hasn’t been implemented properly. I can't wait for a week for a response, this needs immediate attention!",Medium,High,3G Shutdown Impact,Terse and minimal,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3530,"I raised the issue about being mis-sold a mobile plan on September 10. Mary from customer service assured me she would handle it, yet it’s now September 20, and nothing has been done. This lack of follow-up shows a significant disregard for your customers.",Medium,High,Wrong Sale Due to Agent Mistake,Polite but firm,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3531,This has become entirely ridiculous. Trying to cancel my service feels like a game of cat and mouse. I needed to do so on September 12 and still cannot reach anyone who is equipped to help me. I feel completely ignored and wish to escalate this matter promptly.,Medium,High,Difficulty Cancelling Service,Passive-aggressive / sarcastic,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3532,"I’ve just recently become a customer, and your long waiting times are beyond reasonable. I have called three times about this now—one hour wait each time, just to hear my question answered incorrectly each time. Why should I have to keep doing this?",Medium,High,Long Call-Waiting Times,Verbose and detailed,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3533,"I have been a loyal customer for over a decade, and I hate to say I’m disappointed with your service lately. I raised issues about my slow speeds last week, yet every contact seems to take me in circles. I simply want my connection issues resolved. It's unacceptable.",Medium,High,Long Call-Waiting Times,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3534,"Since cancelling my service on September 1, I was assured there'd be no further bills, yet today I received a charge after cancelling. I’ve attempted multiple calls since then, but the people seem less than helpful. This is not the treatment a long-standing customer should have to experience.",Medium,High,Billing After Cancellation,Narrative / storytelling,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3535,"I cancelled my contract on the 15th of last month, but I've just received a bill this week. I already spoke with Tasha on the 2nd, and she assured me there would be no charges. Why am I being billed? This feels entirely unacceptable. This is my second attempt to resolve this and nothing has changed.",Medium,High,Billing After Cancellation,Terse and minimal,Recently switched from another provider,Second attempt — raised once before with no resolution
3536,"I’ve been with your company for so many years, and I can't believe how frustrating this is. I don’t remember authorising any auto-renewal. I’m not great with tech, and your support hasn’t helped. I've tried calling four times. I need to speak to a manager because it feels like I’m getting nowhere. I won't pay for something I didn't agree to.",Medium,High,Auto-Renewal Without Consent,Casual conversational,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
